japanese,reading,english,type,verb_group,adjective_group,group,additional_info,verb_stem,verb_masu,verb_te_form,verb_short_negative,verb_short_past,adjective_negative,adjective_past,adjective_te_form
せんたくする,せんたくする,do laundry,verb,irr,,,,せんたくし,せんたくします,せんたくして,せんたくしない,せんたくした,,,
でんわする,でんわする,call (phone),verb,irr,,,,でんわし,でんわします,でんわして,でんわしない,でんわした,,,
べんきょうする,べんきょうする,study,verb,irr,,,,べんきょうし,べんきょうします,べんきょうして,べんきょうしない,べんきょうした,,,
うんどうする,うんどうする,exercise,verb,irr,,,,うんどうし,うんどうします,うんどうして,うんどうしない,うんどうした,,,
きつえんする,きつえんする,smoke (formal),verb,irr,,,,きつえんし,きつえんします,きつえんして,きつえんしない,きつえんした,,,
けっこんする,けっこんする,marry / get married,verb,irr,,,,けっこんし,けっこんします,けっこんして,けっこんしない,けっこんした,,,
さんぽする,さんぽする,take a walk,verb,irr,,,,さんぽし,さんぽします,さんぽして,さんぽしない,さんぽした,,,
かける,かける,call (phone: でんわを〜) / wear (glasses),verb,ru,,,,かけ,かけます,かけて,かけない,かけた,,,
あびる,あびる,take a shower,verb,ru,,,,あび,あびます,あびて,あびない,あびた,,,
ふる,ふる,fall (rain / snow),verb,u,,,,ふり,ふります,ふって,ふらない,ふった,,,
みつける,みつける,find,verb,ru,,,,みつけ,みつけます,みつけて,みつけない,みつけた,,,
こたえる,こたえる,answer,verb,ru,,,,こたえ,こたえます,こたえて,こたえない,こたえた,,,
あける,あける,open,verb,ru,,,,あけ,あけます,あけて,あけない,あけた,,,
しめる,しめる,close,verb,ru,,,,しめ,しめます,しめて,しめない,しめた,,,
わすれる,わすれる,forget,verb,ru,,,,わすれ,わすれます,わすれて,わすれない,わすれた,,,
おぼえる,おぼえる,memorize / remember,verb,ru,,,,おぼえ,おぼえます,おぼえて,おぼえない,おぼえた,,,
おりる,おりる,get off,verb,ru,,,,おり,おります,おりて,おりない,おりた,,,
かりる,かりる,borrow,verb,ru,,,,かり,かります,かりて,かりない,かりた,,,
つける,つける,turn on,verb,ru,,,,つけ,つけます,つけて,つけない,つけた,,,
けす,けす,turn off,verb,u,,,,けし,けします,けして,けさない,けした,,,
すてる,すてる,throw away,verb,ru,,,,すて,すてます,すてて,すてない,すてた,,,
すう,すう,smoke (inhale),verb,u,,,,すい,すいます,すって,すわない,すった,,,
つかう,つかう,use,verb,u,,,,つかい,つかいます,つかって,つかわない,つかった,,,
てつだう,てつだう,help (tasks),verb,u,,,,てつだい,てつだいます,てつだって,てつだわない,てつだった,,,
たすける,たすける,help / save (rescue),verb,ru,,,,たすけ,たすけます,たすけて,たすけない,たすけた,,,
いそぐ,いそぐ,hurry,verb,u,,,,いそぎ,いそぎます,いそいで,いそがない,いそいだ,,,
たつ,たつ,stand up,verb,u,,,,たち,たちます,たって,たたない,たった,,,
すわる,すわる,sit down,verb,u,,,,すわり,すわります,すわって,すわらない,すわった,,,
やすむ,やすむ,be absent / rest,verb,u,,,,やすみ,やすみます,やすんで,やすまない,やすんだ,,,
わかる,わかる,understand,verb,u,,,,わかり,わかります,わかって,わからない,わかった,,,
しる,しる,know (a fact),verb,u,,,,しり,しります,しって,しらない,しった,,,
おもう,おもう,think (と),verb,u,,,,おもい,おもいます,おもって,おもわない,おもった,,,
のる,のる,ride / get on (vehicle),verb,u,,,,のり,のります,のって,のらない,のった,,,
やる,やる,do (casual) / give (animal),verb,u,,,,やり,やります,やって,やらない,やった,,,
いう,いう,say,verb,u,,,,いい,いいます,いって,いわない,いった,,,
みせる,みせる,show,verb,ru,,,,みせ,みせます,みせて,みせない,みせた,,,
おくれる,おくれる,be late,verb,ru,,,,おくれ,おくれます,おくれて,おくれない,おくれた,,,
みがく,みがく,brush (teeth),verb,u,,,,みがき,みがきます,みがいて,みがかない,みがいた,,,
きる,きる,wear (upper body),verb,ru,,,,き,きます,きて,きない,きた,,,
かぶる,かぶる,wear (hat),verb,u,,,,かぶり,かぶります,かぶって,かぶらない,かぶった,,,
はく,はく,wear (lower body),verb,u,,,,はき,はきます,はいて,はかない,はいた,,,
うたう,うたう,sing,verb,u,,,,うたい,うたいます,うたって,うたわない,うたった,,,
おどる,おどる,dance,verb,u,,,,おどり,おどります,おどって,おどらない,おどった,,,
すむ,すむ,live / reside,verb,u,,,,すみ,すみます,すんで,すまない,すんだ,,,
あるく,あるく,walk,verb,u,,,,あるき,あるきます,あるいて,あるかない,あるいた,,,
はたらく,はたらく,work,verb,u,,,,はたらき,はたらきます,はたらいて,はたらかない,はたらいた,,,
やせる,やせる,be thin (て+いる),verb,ru,,,,やせ,やせます,やせて,やせない,やせた,,,
ふとる,ふとる,be fat (て+いる),verb,u,,,,ふとり,ふとります,ふとって,ふとらない,ふとった,,,
つかれる,つかれる,become tired,verb,ru,,,,つかれ,つかれます,つかれて,つかれない,つかれた,,,
あげる,あげる,give (to someone),verb,ru,,,,あげ,あげます,あげて,あげない,あげた,,,
くれる,くれる,give (to me / my group),verb,ru,,,,くれ,くれます,くれて,くれない,くれた,,,
もらう,もらう,receive / get,verb,u,,,,もらい,もらいます,もらって,もらわない,もらった,,,
つれてくる,つれてくる,bring (a person),verb,irr,,,,つれてき,つれてきます,つれてきて,つれてこない,つれてきた,,,
もってくる,もってくる,bring (a thing),verb,irr,,,,もってき,もってきます,もってきて,もってこない,もってきた,,,
おおきい,おおきい,big,adjective,,i,,,,,,,,おおきくない,おおきかった,おおきくて
ちいさい,ちいさい,small,adjective,,i,,,,,,,,ちいさくない,ちいさかった,ちいさくて
ながい,ながい,long,adjective,,i,,,,,,,,ながくない,ながかった,ながくて
みじかい,みじかい,short,adjective,,i,,,,,,,,みじかくない,みじかかった,みじかくて
ひろい,ひろい,wide / spacious,adjective,,i,,,,,,,,ひろくない,ひろかった,ひろくて
せまい,せまい,narrow,adjective,,i,,,,,,,,せまくない,せまかった,せまくて
あたらしい,あたらしい,new,adjective,,i,,,,,,,,あたらしくない,あたらしかった,あたらしくて
ふるい,ふるい,old (thing),adjective,,i,,,,,,,,ふるくない,ふるかった,ふるくて
いい,いい,good,adjective,,i,,,,,,,,よくない,よかった,よくて
わるい,わるい,bad,adjective,,i,,,,,,,,わるくない,わるかった,わるくて
たかい,たかい,expensive,adjective,,i,,,,,,,,たかくない,たかかった,たかくて
やすい,やすい,cheap,adjective,,i,,,,,,,,やすくない,やすかった,やすくて
はやい,はやい,fast / early,adjective,,i,,,,,,,,はやくない,はやかった,はやくて
おそい,おそい,slow / late,adjective,,i,,,,,,,,おそくない,おそかった,おそくて
つよい,つよい,strong,adjective,,i,,,,,,,,つよくない,つよかった,つよくて
よわい,よわい,weak,adjective,,i,,,,,,,,よわくない,よわかった,よわくて
おおい,おおい,many,adjective,,i,,,,,,,,おおくない,おおかった,おおくて
すくない,すくない,few,adjective,,i,,,,,,,,すくなくない,すくなかった,すくなくて
むずかしい,むずかしい,difficult,adjective,,i,,,,,,,,むずかしくない,むずかしかった,むずかしくて
おもしろい,おもしろい,interesting,adjective,,i,,,,,,,,おもしろくない,おもしろかった,おもしろくて
まずい,まずい,bad tasting,adjective,,i,,,,,,,,まずくない,まずかった,まずくて
からい,からい,spicy,adjective,,i,,,,,,,,からくない,からかった,からくて
あまい,あまい,sweet,adjective,,i,,,,,,,,あまくない,あまかった,あまくて
すっぱい,すっぱい,sour,adjective,,i,,,,,,,,すっぱくない,すっぱかった,すっぱくて
にがい,にがい,bitter,adjective,,i,,,,,,,,にがくない,にがかった,にがくて
あつい,あつい,hot (weather),adjective,,i,,,,,,,,あつくない,あつかった,あつくて
さむい,さむい,cold (weather),adjective,,i,,,,,,,,さむくない,さむかった,さむくて
つめたい,つめたい,cold (object / drink),adjective,,i,,,,,,,,つめたくない,つめたかった,つめたくて
あたたかい,あたたかい,warm,adjective,,i,,,,,,,,あたたかくない,あたたかかった,あたたかくて
すずしい,すずしい,cool (weather),adjective,,i,,,,,,,,すずしくない,すずしかった,すずしくて
ちかい,ちかい,near / close,adjective,,i,,,,,,,,ちかくない,ちかかった,ちかくて
とおい,とおい,far,adjective,,i,,,,,,,,とおくない,とおかった,とおくて
おもい,おもい,heavy,adjective,,i,,,,,,,,おもくない,おもかった,おもくて
かるい,かるい,light,adjective,,i,,,,,,,,かるくない,かるかった,かるくて
ひくい,ひくい,low,adjective,,i,,,,,,,,ひくくない,ひくかった,ひくくて
あかるい,あかるい,bright,adjective,,i,,,,,,,,あかるくない,あかるかった,あかるくて
くらい,くらい,dark,adjective,,i,,,,,,,,くらくない,くらかった,くらくて
こわい,こわい,scary,adjective,,i,,,,,,,,こわくない,こわかった,こわくて
うれしい,うれしい,happy / glad,adjective,,i,,,,,,,,うれしくない,うれしかった,うれしくて
かなしい,かなしい,sad,adjective,,i,,,,,,,,かなしくない,かなしかった,かなしくて
さびしい,さびしい,lonely,adjective,,i,,,,,,,,さびしくない,さびしかった,さびしくて
はずかしい,はずかしい,embarrassed / shy,adjective,,i,,,,,,,,はずかしくない,はずかしかった,はずかしくて
やさしい,やさしい,kind / gentle,adjective,,i,,,,,,,,やさしくない,やさしかった,やさしくて
いたい,いたい,painful,adjective,,i,,,,,,,,いたくない,いたかった,いたくて
あぶない,あぶない,dangerous / risky,adjective,,i,,,,,,,,あぶなくない,あぶなかった,あぶなくて
うるさい,うるさい,noisy / annoying,adjective,,i,,,,,,,,うるさくない,うるさかった,うるさくて
すごい,すごい,amazing / great,adjective,,i,,,,,,,,すごくない,すごかった,すごくて
かっこいい,かっこいい,cool (looking good),adjective,,i,,,,,,,,かっこよくない,かっこよかった,かっこよくて
いそがしい,いそがしい,busy,adjective,,i,,,,,,,,いそがしくない,いそがしかった,いそがしくて
ねむい,ねむい,sleepy,adjective,,i,,,,,,,,ねむくない,ねむかった,ねむくて
きたない,きたない,dirty,adjective,,i,,,,,,,,きたなくない,きたなかった,きたなくて
こうきしんがつよい,こうきしんがつよい,curious,phrase,,,,,,,,,,,,
あたまがいい,あたまがいい,smart,phrase,,,,,,,,,,,,
きれい,きれい,beautiful / clean,adjective,,na,,,,,,,,きれいじゃない,きれいだった,きれいで
ゆうめい,ゆうめい,famous,adjective,,na,,,,,,,,ゆうめいじゃない,ゆうめいだった,ゆうめいで
べんり,べんり,convenient,adjective,,na,,,,,,,,べんりじゃない,べんりだった,べんりで
きけん,きけん,dangerous,adjective,,na,,,,,,,,きけんじゃない,きけんだった,きけんで
あんぜん,あんぜん,safe,adjective,,na,,,,,,,,あんぜんじゃない,あんぜんだった,あんぜんで
しずか,しずか,quiet,adjective,,na,,,,,,,,しずかじゃない,しずかだった,しずかで
にぎやか,にぎやか,lively,adjective,,na,,,,,,,,にぎやかじゃない,にぎやかだった,にぎやかで
かんたん,かんたん,easy,adjective,,na,,,,,,,,かんたんじゃない,かんたんだった,かんたんで
げんき,げんき,healthy / energetic,adjective,,na,,,,,,,,げんきじゃない,げんきだった,げんきで
しんせつ,しんせつ,kind,adjective,,na,,,,,,,,しんせつじゃない,しんせつだった,しんせつで
すき,すき,like (だい = love),adjective,,na,,,,,,,,すきじゃない,すきだった,すきで
きらい,きらい,dislike (だい = hate),adjective,,na,,,,,,,,きらいじゃない,きらいだった,きらいで
とくい,とくい,good at,adjective,,na,,,,,,,,とくいじゃない,とくいだった,とくいで
にがて,にがて,bad at,adjective,,na,,,,,,,,にがてじゃない,にがてだった,にがてで
にんき,にんき,popular,adjective,,na,,,,,,,,にんきじゃない,にんきだった,にんきで
はれ,はれ,sunny,noun,,,,,,,,,,,,
くもり,くもり,cloudy,noun,,,,,,,,,,,,
ゆき,ゆき,snow / snowy,noun,,,,,,,,,,,,
とまる,とまる,stay,verb,u,,,,とまり,とまります,とまって,とまらない,とまった,,,
しんぱいする,しんぱいする,worry,verb,irr,,,,しんぱいし,しんぱいします,しんぱいして,しんぱいしない,しんぱいした,,,
はらう,はらう,pay,verb,u,,,,はらい,はらいます,はらって,はらわない,はらった,,,
きょうみがある,きょうみがある,to be interested in,phrase,,,,,,,,,,,,
いびきをかく,いびきをかく,snore,verb,u,,,,いびきをかき,いびきをかきます,いびきをかいて,いびきをかかない,いびきをかいた,,,
ぬすむ,ぬすむ,steal,verb,u,,,,ぬすみ,ぬすみます,ぬすんで,ぬすまない,ぬすんだ,,,
かんがえる,かんがえる,think / consider,verb,ru,,,,かんがえ,かんがえます,かんがえて,かんがえない,かんがえた,,,
